年	月	日	時	分	GoogleLat	GoogleLng	死	受傷	2-30	天候	光線	道路類別	速限	道路型態	事故位置	路面鋪裝	路面狀態	路面缺陷	障礙物	視距	號誌種類	號誌動作	分向設施	快車道或一般車道間	快慢車道間	路面邊線	事故類型及型態	事故類別
2012	5	31	14	20	24.8092286	120.9634372				8			50															3
2012	5	31	17	56	24.84574635	121.2236621	0	1	0	8	1	5	50	3	2	1	5	4	5	7	2	1	10	5	5	2	16	2
2012	5	30	17	25	24.7603411	120.912261				8			50															3
2012	5	24	9	26	24.78960665	121.0157409				8			40															3
2012	5	24	7	36	24.78869	121.018137				8			50															3
2012	5	31	11	32	24.7809411	121.026143				8			50															3
2012	5	24	10	6	24.7998135	120.9909705				8			50															3
2012	5	21	14	7	24.766794	120.913903				8			50															3
2012	5	26	6	30	24.8132554	120.979903	0	1	0	8	1	5	50	4	1	1	5	4	5	7	3	1	10	5	5	2	16	2
2012	5	26	21	26	24.8044371	120.972732	0	1	0	8	3	5	50	14	9	1	5	4	5	7	4	4	5	4	5	2	16	2
2012	5	27	17	5	24.79037	120.9349189	0	1	0	8	1	5	50	11	9	1	5	4	5	7	4	4	1	4	4	2	17	2
2012	5	28	10	0	24.8684988	120.9533201				6			50															3
2012	5	31	7	20	24.796184	120.975435	0	1	0	7	1	5	50	4	2	1	5	4	5	7	1	1	5	5	5	2	12	2
2012	5	8	12	52	23.7906725	121.0173356				8			50															3
2012	5	26	12	5	24.8009967	120.9870539				8			50															3
2012	5	31	7	23	24.7964808	120.9524293	0	2	0	8	1	5	50	4	1	1	5	4	5	7	1	1	10	5	5	2	12	2
2012	5	20	18	36	24.7831335	121.0125024	0	2	0	8	3	5	50	3	2	1	5	4	5	7	4	4	5	5	5	1	16	2
2012	5	25	23	59	24.790798	121.0055625	0	1	0	8	3	5	50	3	18	1	5	4	5	7	3	1	10	5	5	1	3	2
2012	5	22	17	18	24.7946721	120.957939	0	2	0	8	1	5	40	11	9	1	5	4	5	7	4	4	10	5	5	2	11	2
2012	5	26	22	50	24.7948488	120.9652249				6			50															3
2012	5	26	20	54	24.83324075	120.9468056				6			50															3
2012	5	31	8	40	24.7771041	121.0210509	0	1	0	8	1	5	50	4	1	1	5	4	5	7	4	4	5	5	5	2	15	2
2012	5	23	1	13	24.8141411	120.977205	0	1	0	8	3	5	50	15	9	1	5	4	5	7	4	4	1	4	5	2	12	2
2012	5	4	14	16	24.79932	120.991822	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	1	4	5	2	13	2
2012	5	26	9	55	24.69624285	120.8958243				8			50															3
2012	5	13	9	3	24.7869058	120.9677167	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	5	5	5	1	18	2
2012	5	20	4	21	24.7958534	120.9502815				6			50															3
2012	5	26	15	50	24.814653	120.9638297	0	2	0	8	1	5	40	3	1	1	5	4	5	1	4	4	10	5	5	2	16	2
2012	5	26	18	15	24.799367	120.967489				8			50															3
2012	5	3	9	46	24.8011347	120.9870763	0	1	0	8	1	5	50	4	1	1	5	4	5	7	2	1	10	4	5	1	12	2
2012	6	1	10	14	24.79218	120.9737255				8			50															3
2012	6	1	8	34	24.8356092	120.9235789				8			50															3
2012	6	1	10	0	24.7842919	121.0181496				8			40															3
2012	6	1	11	30	24.7915906	121.0157262				8			50															3
2012	6	1	11	35	24.798228	120.965282				8			50															3
2012	6	1	17	36	24.81362115	120.9743432				8			50															3
2012	6	1	23	40	24.8423748	120.9341485	0	1	0	8	3	5	50	4	1	1	5	4	5	7	2	1	10	5	5	2	16	2
2012	6	1	19	33	24.7956271	120.971918	0	1	0	8	3	5	50	3	1	1	5	4	5	7	4	4	10	5	5	2	12	2
2012	6	2	8	23	24.7998135	120.9909705				8			50															3
2012	6	2	13	28	24.815536	120.990202				8			50															3
2012	6	2	9	20	24.777609	121.023131				8			50															3
2012	6	2	15	52	24.8187568	120.976498				8			50															3
2012	6	1	20	38	24.8050047	120.9574546	0	3	0	8	3	5	50	14	9	1	5	4	5	7	4	4	5	5	5	2	13	2
2012	6	2	16	4	24.7968243	121.004945				8			40															3
2012	6	1	18	10	24.8142165	120.9640903				8			50															3
2012	6	3	8	30	24.8333624	121.0065953				8																		3
2012	6	2	15	55	24.79447765	120.9611721				8			50															3
2012	6	3	10	3	24.80126	120.970554				8			50															3
2012	6	2	16	53	24.8214621	120.9520581				8			50															3
2012	6	3	9	47	24.7982408	120.9530228				8			50															3
2012	6	3	11	8	23.8548668	120.983603				8			50															3
2012	6	2	16	53	24.8042903	120.9752282				8			50															3
2012	6	3	12	40	24.8019741	121.0001719				8			50															3
2012	6	3	13	12	24.799689	120.9515893	0	1	0	8	1	5	50	3	1	1	5	4	5	7	2	1	10	5	5	2	16	2
2012	6	3	8	57	24.80985965	120.9553303	0	1	0	8	1	5	50	15	8	1	5	4	3	7	4	4	5	4	1	1	12	2
2012	6	3	14	21	24.799834	120.981155				8			50															3
2012	6	3	16	35	24.842925	120.923241				8			50															3
2012	6	1	10	2	24.79925245	120.969281	0	2	0	8	1	5	50	14	9	1	5	4	5	7	4	4	5	5	5	2	17	2
2012	6	3	20	4	24.7992233	120.9599049	0	1	0	8	3	5	40	4	1	1	5	4	5	7	4	4	10	5	5	2	15	2
2012	6	3	19	28	24.7935241	120.96682	0	2	0	8	3	5	50	4	1	1	5	4	5	7	1	1	10	5	5	2	16	2
2012	6	3	19	30	24.8128611	120.972843				8			50															3
2012	6	3	21	47	24.8161395	120.9934274				8			50															3
2012	6	4	8	50	24.822538	120.976677				8			50															3
2012	6	4	13	40	24.7975598	120.995739	0	3	0	6	1	5	50	3	1	1	4	4	5	7	1	1	10	5	5	2	16	2
2012	6	2	21	50	24.7893351	121.0183806	0	1	0	7	3	5	50	4	1	1	5	4	5	7	4	4	10	5	5	2	15	2
2012	6	4	14	22	24.784744	121.014843				8			50															3
2012	6	4	15	43	24.8077913	120.9790635				6			50															3
2012	6	4	16	43	37.8545931	112.5517968				6			50															3
2012	6	4	19	3	24.8001525	120.9896318				8			50															3
2012	6	4	16	53			0	1	0	6	1	5	50	4	1	1	4	4	5	7	4	4	9	5	5	2	16	2
2012	6	4	19	4						8			50															3
2012	6	4	21	47			1	0	0	8	3	5	40	14	9	1	5	4	5	7	4	4	10	5	5	2	26	1
2012	6	4	5	50			0	2	0	8	1	5	50	8	9	1	5	4	5	7	4	4	1	4	5	2	12	2
2012	6	2	16	32			0	1	0	7	1	5	50	14	9	1	5	4	5	7	4	4	9	5	5	2	16	2
2012	6	5	8	27						8			50															3
2012	6	5	9	31						8			50															3
2012	6	5	12	4			0	2	0	8	1	5	50	4	1	1	5	4	5	7	1	1	10	5	5	2	15	2
2012	6	5	9	2	24.79834225	120.9906022				8			50															3
2012	6	5	8	9	24.7593021	120.9580364	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	9	5	5	2	16	2
2012	6	5	9	40	24.782637	120.9546454	0	0	0	8	1	5	50	4	1	1	5	4	5	7	1	1	1	2	5	2	12	3
2012	6	5	10	57	24.7975795	120.9473087				8			50															3
2012	6	5	12	19	24.78436645	121.0121615	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	10	5	5	2	16	2
2012	6	5	13	41	24.8015288	120.965968	0	2	0	8	1	5	50	4	1	1	5	4	5	7	4	4	10	5	5	2	16	2
2012	6	4	17	20	24.8091112	120.9601481	0	2	0	8	1	8	50	15	20	4	5	4	5	7	4	4	10	5	5	2	16	2
2012	6	5	17	15	24.7789755	120.9367845	0	2	0	8	1	5	40	14	9	1	5	4	5	7	4	4	5	5	5	2	16	2
2012	6	5	18	39	24.7978011	120.964592	0	2	0	7	3	5	50	3	1	1	5	4	5	7	4	4	10	5	5	2	16	2
2012	6	1	16	0	24.805355	120.960843				8			50															3
2012	6	1	8	19	23.8548668	120.983603																						3
2012	6	4	15	17	24.7993701	120.996979				6			50															3
2012	6	4	9	30	24.781316	121.026368	0	0	0	8	1	5	50	14	9	2	5	4	5	7	4	4	5	4	5	1	17	3
2012	6	4	8	10	24.7830941	121.0116058				6			50															3
2012	6	4	16	42	24.8129741	120.9829031				6			50															3
2012	6	5	21	30	24.807997	120.98049				8			50															3
2012	6	5	20	55	24.819458	120.995265																						3
2012	6	2	13	11	24.7975598	120.995739	0	1	0	8	1	5	50	3	1	1	5	4	5	7	2	1	10	5	5	2	15	2
2012	6	1	12	15	24.7884154	120.9680175	0	1	0	8	1	5	50	4	1	1	5	4	5	7	3	3	10	5	5	2	17	2
2012	6	5	22	0	24.79433965	121.0070411	0	1	0	8	3	5	50	3	1	1	5	4	5	7	1	1	10	5	5	2	16	2
2012	6	5	18	15	24.8393931	120.998699	0	2	0	8	1	5	50	4	1	1	5	4	5	7	4	4	10	5	5	2	16	2
2012	6	5	17	50	24.811999	120.964286				8			50															3
2012	6	5	17	16	24.8085331	120.982198	0	2	0	8	1	5	50	14	9	1	5	4	5	7	4	4	1	4	5	2	13	2
2012	6	5	18	18	24.814435	120.956184	0	2	0	8	2	5	40	4	1	1	5	4	5	7	4	4	10	5	5	2	15	2
2012	6	6	7	56	24.81261715	120.9524618	0	2	0	8	1	5	40	3	1	1	5	4	5	7	4	4	10	5	5	2	12	2
2012	6	6	10	43	24.804663	120.965022	0	1	0	8	1	5	50	3	2	1	5	4	5	7	4	4	5	5	5	2	16	2
2012	6	4	18	17	24.80867115	120.9623971	0	2	0	6	2	5	50	15	9	1	4	4	5	7	4	4	9	5	5	2	17	2
2012	6	6	13	49	24.7771139	120.9467465				8			40															3
2012	6	6	15	25	24.77842755	120.9396875	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	4	5	5	2	17	2
2012	6	6	22	24	24.8025948	120.9623823	0	1	0	8	3	5	50	4	1	1	5	4	5	7	3	1	10	5	5	2	15	2
2012	6	5	6	3	24.84574635	121.2236621	0	1	0	8	1	5	50	3	4	1	5	4	5	7	2	1	5	4	5	2	13	2
2012	6	6	15	20	24.783575	121.016619	0	1	0	8	1	5	50	5	1	1	5	4	5	7	1	1	10	5	5	2	11	2
2012	6	3	0	5	24.8047718	120.9556443	0	2	0	8	3	5	50	4	1	1	5	4	5	7	1	1	10	5	5	2	11	2
2012	6	7	11	8	24.8011347	120.9870763				8			50															3
2012	6	7	11	58	24.8019621	120.983299	0	1	0	8	1	5	50	3	2	1	5	4	5	7	4	4	5	2	5	2	16	2
2012	6	3	17	43	24.8356702	121.0202474				8			50															3
2012	6	7	14	40	24.8019091	120.969067	0	0	0	8	1	5	50	14	9	1	5	4	5	7	4	4	5	4	5	2	17	3
2012	6	3	19	37	24.8228691	120.9720984				8			50															3
2012	6	3	15	30	24.7937701	120.955228				8			40															3
2012	6	7	16	10	24.797232	120.9637474				8			50															3
2012	6	7	15	40	24.8089931	120.979218				8			50															3
2012	6	6	22	13	24.800904	120.966954				8			58															3
2012	6	7	18	15	24.7887326	120.9300059																						3
2012	6	6	20	21	24.842793	120.933604	0	0	0	8	3	5	50	14	9	1	5	4	5	7	4	4	9	4	5	2	13	3
2012	6	7	18	3	24.8001525	120.9896318				8			50															3
2012	6	7	15	5	24.8141991	120.9912809				8			50															3
2012	6	7	22	45	24.803197	120.971355				8			50															3
2012	6	7	19	44	24.782257	121.020659	0	2	0	8	3	5	50	3	2	1	5	4	5	7	4	4	5	4	5	2	16	2
2012	6	5	16	10	24.789728	121.019559				8			50															3
2012	6	6	22	12	24.7951745	120.969706	0	1	0	8	3	5	50	3	2	1	5	4	5	7	4	4	5	5	5	1	27	2
2012	6	7	22	45	24.80106285	120.9674801	0	2	0	8	3	5	50	14	9	1	5	4	5	7	4	4	5	4	5	2	16	2
2012	6	3	20	5	24.8137323	120.9674304				8			40															3
2012	6	7	23	37	24.73400965	120.9131372				8			70															3
2012	6	8	6	41	24.7597091	120.9584529	1	0	0	8	1	5	70	3	1	1	5	4	5	7	4	4	10	5	5	2	16	1
2012	6	4	12	40	24.7879134	120.937435				6			40															3
2012	6	8	11	50	24.7874802	121.0095148				8			50															3
2012	6	7	17	30	23.017623	120.278726				8			40															3
2012	6	8	14	6	24.7932831	121.001211				8			50															3
2012	6	1	16	45	24.8095416	120.9776828	0	2	0	8	1	5	50	4	18	1	5	4	5	7	3	1	10	5	5	2	3	2
2012	6	8	20	33	24.78833355	120.9673408				8			50															3
2012	6	8	21	24	24.8129871	120.978057	0	2	0	8	3	5	50	14	9	1	5	4	5	7	4	4	9	5	5	2	16	2
2012	6	4	7	0	24.799689	120.9515893				8			50															3
2012	6	7	21	33	24.788804	120.9671331	0	1	0	8	3	5	50	3	1	1	5	4	5	7	3	1	10	5	5	2	16	2
2012	6	8	15	50	24.7932831	121.001211				8			50															3
2012	6	9	11	28	24.4235318	120.6435228				8			50															3
2012	6	8	1	26	24.8115961	120.963195				8			50															3
2012	6	9	0	12	24.779966	120.935348	0	2	0	7	3	5	40	3	1	1	5	4	5	7	4	4	10	5	5	2	16	2
2012	6	2	11	20	24.8017471	120.960466	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	5	4	5	2	13	2
2012	6	9	18	42	24.8096694	120.9775955				8			50															3
2012	6	7	17	16	24.8088365	120.9826966	0	2	0	8	1	5	50	3	2	1	5	4	5	7	3	1	1	4	5	2	12	2
2012	6	9	19	37	24.7969594	120.9757468				8			50															3
2012	6	8	7	1	24.7974672	120.976734	0	1	0	8	1	5	50	4	1	1	5	4	5	7	4	4	10	5	5	2	15	2
2012	6	9	23	3	24.8806078	121.0355371				8			50															3
2012	6	8	9	30	24.8049651	120.947146	0	1	0	8	1	5	50	14	9	1	5	4	5	7	4	4	9	5	5	1	12	2
2012	6	8	12	40	24.8095356	120.9612583	0	2	0	8	1	5	50	14	9	1	5	4	5	7	4	4	1	4	5	2	12	2
2012	6	9	21	1	24.8102881	120.9679249				8			50															3
2012	6	9	22	30	24.8395691	120.931391	0	3	0	8	3	5	50	14	9	1	5	4	5	7	1	1	1	4	5	2	13	2
2012	6	9	20	36	24.7967817	120.9997716				8			50															3
2012	6	9	22	35	24.73400965	120.9131372	0	1	0	8	3	5	70	14	9	1	5	4	5	7	4	4	7	2	4	1	20	2
2012	6	10	0	40	24.799689	120.9515893				8			50															3
2012	6	10	4	22	24.8042903	120.9752282				8			50															3
2012	6	10	9	0	24.7771139	120.9467465				8			50															3
2012	6	10	11	51	24.41422875	120.759641				8			50															3
2012	6	10	12	36	24.7929205	121.0125589				8			50															3
2012	6	10	14	20	24.8438901	120.930834				8			50															3
2012	6	10	13	0	24.8070521	120.978578	0	2	0	8	1	5	50	14	9	1	5	4	5	7	4	4	9	4	5	2	12	2
2012	6	10	19	2	24.77862	120.939535	0	2	0	8	3	5	40	14	9	1	5	4	5	7	4	4	10	5	5	2	3	2
2012	6	10	22	35	24.796174	120.955803				8			50															3
2012	6	11	3	58	24.798926	120.966468	1	0	0	8	3	5	50	14	9	1	5	4	5	7	4	4	9	5	5	1	17	1
2012	6	11	8	25	24.8331464	120.9483426				8			50															3
2012	6	10	12	40	24.8134353	120.9707609	0	1	0	8	1	5	50	11	9	1	5	4	5	7	4	4	5	5	5	2	12	2
2012	6	11	6	53	24.8029136	120.925211	0	1	0	8	1	5	50	4	1	1	5	4	5	7	4	4	10	5	5	2	15	2
